Time (min),Cyanobacterial cell count,wastewater concentration (Ci),Sonicator power density,Concentration of H2O2,Volume (mL),Solution pH,final count/0.5 mL,final count/mL,Particles/mL,Area (ABD) Mean,Area (ABD) Min,Area (ABD) Max,Area (Filled) Mean,Area (Filled) Min,Area (Filled) Max,Aspect Ratio Mean,Aspect Ratio Min,Aspect Ratio Max,Circle Fit Mean,Circle Fit Min,Circle Fit Max,Circularity Mean,Circularity Min,Circularity Max,Circularity (Hu) Mean,Circularity (Hu) Min,Circularity (Hu) Max,Compactness Mean,Compactness Min,Compactness Max,Convex Perimeter Mean,Convex Perimeter Min,Convex Perimeter Max,Convexity Mean,Convexity Min,Convexity Max,Diameter (ABD) Mean,Diameter (ABD) Min,Diameter (ABD) Max,Diameter (ESD) Mean,Diameter (ESD) Min,Diameter (ESD) Max,Diameter (FD) Mean,Diameter (FD) Min,Diameter (FD) Max,"D[3,2](ABD) Mean","D[3,2](ESD) Mean","D[4,3](ABD) Mean","D[4,3](ESD) Mean",Edge Gradient Mean,Edge Gradient Min,Edge Gradient Max,Elapsed Time Mean,Elapsed Time Min,Elapsed Time Max,Elongation Mean,Elongation Min,Elongation Max,Fiber Curl Mean,Fiber Curl Min,Fiber Curl Max,Fiber Straightness Mean,Fiber Straightness Min,Fiber Straightness Max,Geodesic Aspect Ratio Mean,Geodesic Aspect Ratio Min,Geodesic Aspect Ratio Max,Geodesic Length Mean,Geodesic Length Min,Geodesic Length Max,Geodesic Thickness Mean,Geodesic Thickness Min,Geodesic Thickness Max,Image Height Mean,Image Height Min,Image Height Max,Image Width Mean,Image Width Min,Image Width Max,Intensity Mean,Intensity Min,Intensity Max,Length Mean,Length Min,Length Max,Particles Per Chain Mean,Particles Per Chain Min,Particles Per Chain Max,Perimeter Mean,Perimeter Min,Perimeter Max,Ratio Blue/Green Mean,Ratio Blue/Green Min,Ratio Blue/Green Max,Ratio Red/Blue Mean,Ratio Red/Blue Min,Ratio Red/Blue Max,Ratio Red/Green Mean,Ratio Red/Green Min,Ratio Red/Green Max,Roughness Mean,Roughness Min,Roughness Max,Scatter Area Mean,Scatter Area Min,Scatter Area Max,Scatter Peak Mean,Scatter Peak Min,Scatter Peak Max,Scatter Width Mean,Scatter Width Min,Scatter Width Max,Sigma Intensity Mean,Sigma Intensity Min,Sigma Intensity Max,Sphere Complement Mean,Sphere Complement Min,Sphere Complement Max,Sphere Count Mean,Sphere Count Min,Sphere Count Max,Sphere Unknown Mean,Sphere Unknown Min,Sphere Unknown Max,Sphere Volume Mean,Sphere Volume Min,Sphere Volume Max,Sum Intensity Mean,Sum Intensity Min,Sum Intensity Max,Symmetry Mean,Symmetry Min,Symmetry Max,Transparency Mean,Transparency Min,Transparency Max,Volume (ABD) Mean,Volume (ABD) Min,Volume (ABD) Max,Volume (ESD) Mean,Volume (ESD) Min,Volume (ESD) Max,Width Mean,Width Min,Width Max
40,200000,20,40,0,100,7.4,33076,66152,129501.85,29.59,2.43,5389.7,29.88,2.43,5578.23,0.65,0.07,1,0.72,0,0.96,0.75,0.05,1,0.75,0.03,1,1.49,1,20.3,28.18,20.07,749.18,0.9,0.2,1,5.56,1.76,82.84,7.45,5,237.03,5.58,1.76,84.28,9.73,19.26,18.59,94.23,83.48,40,231.86,94.33,0.56,189.36,2.28,1,61.76,0.14,0,2.31,0.96,0.3,2.67,0.69,0.02,1,10.58,3.75,610,5.96,1.02,34.11,25.1,11,452,23.93,13,245,139.65,50.36,212.11,9.56,5.51,350.87,1.26,1,8,33.08,13.84,1239.75,1,0.95,1.05,0.99,0.91,1.08,1,0.95,1.04,1.17,0.47,2.36,0,0,0,0,0,0,0,0,0,29.43,3.33,77.04,0,0,0,0,0,0,0,0,0,0,0,0,16922.03,2718,1717924,0.65,0,1,0.24,0.03,0.82,191.92,2.85,297653.33,686.22,65.48,6973195.5,4.89,1.1,92.95
40,200000,20,40,0,100,7.4,44637,89274,176785.55,32.05,1.89,5114.14,32.3,1.89,5114.14,0.67,0.07,1,0.73,0,0.96,0.77,0.04,1,0.77,0.03,1,1.43,1,26.38,28.54,19.96,313.62,0.91,0.17,1,5.81,1.55,80.69,7.57,5,98.38,5.82,1.55,80.69,10.08,13.6,19.51,28.42,87.68,40,239.26,92.1,0.58,187.22,2.12,1,80.86,0.12,0,2.46,0.97,0.29,3.09,0.72,0.01,1,10.49,4.29,250.31,6.27,1.03,46.49,25.26,12,196,24.02,13,174,134.94,42.25,205.73,9.61,5.51,151.74,1.23,1,9,33.53,14.44,527.05,1,0.96,1.06,0.99,0.9,1.1,0.99,0.94,1.06,1.18,0.41,2.55,0,0,0,0,0,0,0,0,0,29.31,3.63,74.38,0,0,0,0,0,0,0,0,0,0,0,0,17169.03,2454,981967,0.66,0,1,0.22,0.02,0.84,215.3,1.95,275120.4,487.77,65.48,498585.54,5.1,1.1,80.46
50,200000,20,40,0,100,7.4,43617,87234,172303.45,31.4,2.29,18553.42,31.63,2.29,19077.82,0.66,0.05,1,0.73,0,0.96,0.77,0.06,1,0.77,0.02,1,1.43,1,16.71,28.32,20.03,1053.82,0.91,0.2,1,5.72,1.71,153.7,7.49,5,333.93,5.73,1.71,155.85,12.26,26.59,46.88,180.39,88.33,40,239.38,91.82,0.56,187.69,2.11,1,50.48,0.12,0,2.6,0.97,0.28,2.85,0.72,0.02,1,10.38,3.75,617.84,6.2,1.04,63.95,25.08,12,302,24.04,13,658,134.16,38.59,198.48,9.55,5.51,519.14,1.24,1,6,33.16,13.84,1271.34,1,0.95,1.06,0.99,0.92,1.09,0.99,0.96,1.04,1.17,0.47,2.42,0,0,0,0,0,0,0,0,0,28.46,4.1,74.83,0,0,0,0,0,0,0,0,0,0,0,0,16863.16,2467,4310305,0.67,0,1,0.22,0.03,0.84,256.66,2.61,1901076.58,968.15,65.48,19496132.19,5.01,1.1,160.55
50,200000,20,40,0,100,7.4,41167,82334,163168.23,30.48,2.29,5054.5,30.72,2.29,5054.5,0.66,0.04,1,0.73,0,0.96,0.77,0.04,1,0.77,0.04,1,1.44,1,27.5,28.28,20,320.93,0.91,0.2,1,5.69,1.71,80.22,7.48,5,100.65,5.7,1.71,80.22,9.51,13.18,17.76,26.96,87.7,40,238.31,92.16,0.58,187.06,2.13,1,84.38,0.12,0,2.6,0.97,0.28,2.6,0.71,0.01,1,10.38,3.9,217.4,6.17,0.95,36.31,25.18,12,196,23.89,13,175,134.73,42.33,206.98,9.55,5.51,135.57,1.24,1,6,33.09,14.44,441.96,1,0.95,1.05,0.99,0.92,1.12,0.99,0.95,1.07,1.17,0.48,2.47,0,0,0,0,0,0,0,0,0,28.69,3.13,73.7,0,0,0,0,0,0,0,0,0,0,0,0,16667.31,2776,859446,0.66,0,1,0.23,0.02,0.79,193.35,2.61,270321.79,459.1,65.48,533830.73,4.98,1.1,65.03
60,200000,20,40,0,100,7.4,48966,97932,192252.42,29.4,2.43,4820.22,29.6,2.43,4981.39,0.65,0.08,1,0.72,0,0.96,0.76,0.04,1,0.75,0.04,1,1.44,1,26.54,28.16,20.03,330.47,0.91,0.19,1,5.62,1.76,78.34,7.44,5,103.67,5.63,1.76,79.64,9.15,12.29,17.27,25.48,88.4,40,236.45,91.33,0.58,188.86,2.14,1,81.37,0.11,0,2.51,0.97,0.28,2.82,0.71,0.01,1,10.32,4.11,191.78,6.09,1.15,52.82,25.12,12,196,23.9,14,166,133.67,42.39,206.68,9.54,5.51,140.71,1.26,1,7,32.83,14.44,424.02,1,0.95,1.05,0.99,0.92,1.09,0.99,0.95,1.05,1.17,0.48,2.68,0,0,0,0,0,0,0,0,0,27.83,3.68,77.92,0,0,0,0,0,0,0,0,0,0,0,0,16218.34,2553,1182456,0.66,0,1,0.23,0.03,0.78,179.31,2.85,251747.02,415.79,65.48,583355.37,4.9,1.1,56.95
60,200000,20,40,0,100,7.4,49982,99964,196241.48,30.07,2.29,4121.42,30.27,2.29,4121.42,0.65,0.03,1,0.73,0,0.96,0.77,0.06,1,0.76,0.03,1,1.43,1,17.65,28.32,19.98,483.58,0.91,0.18,1,5.69,1.71,72.44,7.5,5,152.43,5.7,1.71,72.44,9.05,13.01,15.87,33.32,89.02,40,233.31,91.77,0.58,188.84,2.11,1,53.42,0.11,0,2.24,0.97,0.31,3.16,0.71,0.02,1,10.35,4.29,274.44,6.16,1.1,38.39,25.21,11,289,23.93,13,170,133.13,45.63,204.56,9.58,5.51,231.09,1.25,1,5,33.02,14.44,559.15,1,0.96,1.05,0.99,0.92,1.07,0.99,0.95,1.05,1.17,0.41,2.32,0,0,0,0,0,0,0,0,0,28.14,3.21,77.07,0,0,0,0,0,0,0,0,0,0,0,0,16378.57,2810,624962,0.66,0,1,0.23,0.03,0.82,181.43,2.61,199037.42,448.85,65.48,1854434.47,4.97,0.73,71.64
0,200000,20,50,0,100,7.4,99136,198272,390324.83,88.86,2.02,28481.47,90.67,2.02,29170.41,0.64,0,1,0.62,0,0.96,0.59,0.02,1,0.74,0.02,1,2.17,1,58.18,41.7,20.11,1025.14,0.88,0,1,8.51,1.61,190.43,11.75,5,324.74,8.59,1.61,192.72,23.17,37.22,41.1,72.73,70.43,40,238,93.72,0.58,188.33,4.46,1,180.76,0.37,0,3.64,0.8,0.22,3.69,0.47,0.01,1,20.99,5.47,853.76,6.31,0.77,42.54,31.65,9,633,28.84,11,262,143.86,36.44,207.62,14.96,5.51,475.78,1.18,1,27,54.59,15.05,1723.98,1.01,0.91,1.07,0.99,0.89,1.17,0.99,0.93,1.07,1.29,0.31,3.42,0,0,0,0,0,0,0,0,0,26.74,1.61,72.83,0,0,0,0,0,0,0,0,0,0,0,0,34739.75,2424,5789225,0.54,0,1,0.26,0.03,0.89,1372.66,2.17,3615825.58,4410.52,65.48,17931189.56,7.81,0.73,115
0,200000,20,50,0,100,7.4,96040,192080,377460.67,80.93,1.75,8307.77,82.72,1.75,8885.06,0.64,0,1,0.62,0,0.96,0.59,0.01,1,0.74,0.01,1,2.18,1,78.71,40.78,20.04,645.94,0.88,0,1,8.26,1.49,102.85,11.46,5,204.15,8.34,1.49,106.36,20.31,32.9,31.89,57.23,69.78,40,219.66,93.81,0.58,188.67,4.49,1,245.28,0.38,0,4.22,0.8,0.19,3.04,0.47,0,1,20.54,4.58,1077.53,6.18,0.61,39.71,31.03,10,373,28.69,11,257,144.85,33.51,209.48,14.61,5.51,292.08,1.17,1,23,53.43,14.87,2163.84,1,0.89,1.09,0.99,0.86,1.21,0.99,0.94,1.13,1.29,0.33,3.91,0,0,0,0,0,0,0,0,0,26.45,3.35,75.16,0,0,0,0,0,0,0,0,0,0,0,0,33148.56,2268,2643276,0.54,0,1,0.26,0.03,0.92,1095.65,1.75,569626.77,3587.21,65.48,4455117,7.58,0.73,131.16
10,200000,20,50,0,100,7.4,43335,86670,170273.76,32.97,2.16,2796.35,33.35,2.16,3199.17,0.66,0.04,1,0.72,0,0.96,0.75,0.05,1,0.76,0.02,1,1.5,1,21.84,28.99,20.01,462.63,0.91,0.24,1,5.85,1.66,59.67,7.71,5,145.86,5.87,1.66,63.82,10.06,15.62,16.96,38.54,82.76,40,243.65,93.96,0.58,188.7,2.33,1,66.6,0.15,0,2.68,0.95,0.27,2.98,0.69,0.02,1,10.98,3.9,316.62,6.18,1.09,32.86,25.52,11,313,24.13,13,163,138.78,42.41,201.91,9.84,5.51,219.34,1.23,1,17,34.33,14.44,645.57,1,0.93,1.05,0.99,0.9,1.16,0.99,0.94,1.08,1.18,0.45,2.7,0,0,0,0,0,0,0,0,0,29.09,3.18,77.98,0,0,0,0,0,0,0,0,0,0,0,0,17897.58,2651,829431,0.65,0,1,0.23,0.03,0.84,221.21,2.39,111237.64,596.63,65.48,1624753.94,5.14,1.1,56.21
10,200000,20,50,0,100,7.4,41708,83416,163922.63,32.79,2.16,3787.13,33.12,2.16,3796.92,0.66,0.06,1,0.72,0,0.97,0.75,0.04,1,0.76,0.03,1,1.5,1,24.29,28.92,19.95,349.88,0.91,0.17,1,5.84,1.66,69.44,7.69,5,109.81,5.86,1.66,69.53,10.05,14.54,17.39,31.47,82.4,40,232.72,94.02,0.56,188.64,2.33,1,74.3,0.15,0,2.6,0.95,0.28,3.37,0.69,0.01,1,10.96,3.9,399.02,6.18,0.98,31.13,25.51,11,214,24.05,13,181,139.01,51.5,206.04,9.81,5.51,161.29,1.22,1,13,34.27,14.44,808.79,1,0.91,1.1,0.99,0.83,1.15,0.99,0.92,1.06,1.19,0.41,2.73,0,0,0,0,0,0,0,0,0,29.24,3.87,73.44,0,0,0,0,0,0,0,0,0,0,0,0,17874.35,2742,931277,0.65,0,1,0.23,0.02,0.81,219.8,2.39,175319.09,547.42,65.48,693338.62,5.12,1.1,60.62
20,200000,20,50,0,100,7.4,39772,79544,157517.64,31.3,2.02,4917.12,31.65,2.02,5088.73,0.66,0.07,1,0.73,0,0.96,0.76,0.04,1,0.76,0.02,1,1.47,1,27.81,28.5,20.09,599.44,0.91,0.2,1,5.73,1.61,79.12,7.55,5,189.29,5.75,1.61,80.49,9.68,15.66,17,52.68,84.34,40,235.09,92.54,0.58,187.22,2.23,1,85.35,0.13,0,2.26,0.96,0.31,3.42,0.7,0.01,1,10.63,4.11,686.1,6.14,0.89,29.68,25.21,11,321,24.04,12,241,136.63,42.63,203.46,9.63,5.51,258.28,1.24,1,6,33.54,14.44,1388.27,1,0.93,1.06,0.99,0.9,1.15,0.99,0.94,1.08,1.18,0.36,2.32,0,0,0,0,0,0,0,0,0,29.09,4,77.22,0,0,0,0,0,0,0,0,0,0,0,0,17114.71,1995,1218450,0.66,0,1,0.23,0.02,0.84,201.9,2.17,259376.09,565.81,65.48,3551402.02,5.05,0.73,84.13
20,200000,20,50,0,100,7.4,34706,69412,137949.5,29.97,2.02,1974.91,30.3,2.02,2599.58,0.66,0.07,1,0.72,0,0.96,0.75,0.07,1,0.76,0.04,1,1.48,1,13.68,28.3,20.05,470.57,0.91,0.21,1,5.65,1.61,50.15,7.49,5,148.29,5.67,1.61,57.53,8.87,13.7,13.5,36.56,82.65,40,236.33,92.71,0.58,186.55,2.26,1,40.96,0.14,0,2.69,0.95,0.27,2.72,0.69,0.02,1,10.6,3.9,255.69,6.06,0.92,34.85,25.09,11,277,24.01,13,182,138.32,45.85,206.02,9.57,5.51,226.69,1.24,1,6,33.33,14.44,524.08,1,0.94,1.07,0.99,0.89,1.14,1,0.94,1.07,1.18,0.46,2.57,0,0,0,0,0,0,0,0,0,29.22,3.23,78.76,0,0,0,0,0,0,0,0,0,0,0,0,16937.59,2219,554080,0.65,0,1,0.23,0.03,0.81,177.3,2.17,66021.53,477.82,65.48,1707282.62,4.98,1.1,54.74
30,200000,20,50,0,100,7.4,39209,78418,154771.3,30.91,2.02,4172.55,31.18,2.02,4230.92,0.66,0.06,1,0.73,0,0.96,0.76,0.05,1,0.76,0.02,1,1.46,1,19.9,28.41,19.96,328.49,0.91,0.2,1,5.71,1.61,72.89,7.52,5,103.06,5.72,1.61,73.4,9.59,13.7,17.19,28.97,84.37,40,241.9,92.48,0.58,187.84,2.2,1,60.51,0.13,0,2.46,0.96,0.29,2.68,0.7,0.02,1,10.55,4.29,208.08,6.13,0.96,33.61,25.19,11,208,24.01,12,184,135.57,46.05,202.4,9.6,5.51,142.92,1.24,1,5,33.35,14.7,460.57,1,0.88,1.05,0.99,0.9,1.22,0.99,0.95,1.08,1.17,0.45,2.63,0,0,0,0,0,0,0,0,0,28.46,3.19,74.93,0,0,0,0,0,0,0,0,0,0,0,0,16883.76,2259,934736,0.66,0,1,0.23,0.02,0.86,197.61,2.17,202752.5,487.8,65.48,573079.24,5.02,0.73,61.36
30,200000,20,50,0,100,7.4,33591,67182,132222.96,31.02,2.29,5969.7,31.37,2.29,5975.95,0.66,0.04,1,0.72,0,0.96,0.75,0.04,1,0.76,0.03,1,1.48,1,23.62,28.42,20.07,520.12,0.9,0.12,1,5.67,1.71,87.18,7.53,5,164.04,5.68,1.71,87.23,10.34,18.03,21.06,60.29,82.83,40,226.18,93.55,0.56,188.36,2.28,1,72.18,0.14,0,2.44,0.95,0.29,2.67,0.69,0.01,1,10.7,4.11,359.38,6.05,1.1,45.57,25.19,11,317,24.02,13,271,137.51,32.7,201.63,9.62,5.51,223.01,1.25,1,8,33.5,14.27,728.72,1,0.93,1.05,0.99,0.9,1.16,0.99,0.93,1.08,1.18,0.47,2.5,0,0,0,0,0,0,0,0,0,28.79,3.89,74.24,0,0,0,0,0,0,0,0,0,0,0,0,17093.04,2250,1191862,0.65,0,1,0.23,0.03,0.81,213.74,2.61,346970.83,663.27,65.48,2311428.52,5,1.1,93.69
40,200000,20,50,0,100,7.4,36305,72610,143823.45,29.91,2.29,4319.81,30.24,2.29,4378.22,0.65,0.09,1,0.72,0,0.96,0.76,0.05,1,0.75,0.04,1,1.47,1,20.49,28.24,20.02,320.18,0.9,0.23,1,5.58,1.71,74.16,7.47,5,100.34,5.6,1.71,74.66,9.91,14.63,18.74,33.64,83.19,40,234.74,92.26,0.56,187.16,2.25,1,62.36,0.13,0,2.62,0.96,0.28,2.59,0.69,0.02,1,10.53,3.9,216.02,5.98,0.98,41.59,25.1,12,211,23.98,13,121,136.45,35.63,202.63,9.57,5.51,148.8,1.27,1,5,33.02,14.44,440.19,1,0.93,1.05,0.99,0.91,1.2,0.99,0.95,1.13,1.17,0.48,2.43,0,0,0,0,0,0,0,0,0,27.9,3.48,74.78,0,0,0,0,0,0,0,0,0,0,0,0,16621.3,2585,986346,0.65,0,1,0.24,0.02,0.79,197.7,2.61,213579.98,518.35,65.48,528973.83,4.91,1.1,63.56
40,200000,20,50,0,100,7.4,33337,66674,131930.1,29.2,2.16,2359.92,29.54,2.16,2769.24,0.65,0.06,1,0.72,0,0.96,0.75,0.05,1,0.75,0.03,1,1.48,1,20.25,28.15,19.97,459.28,0.9,0.22,1,5.55,1.66,54.82,7.44,5,144.76,5.57,1.66,59.38,9.24,15.57,15.72,45.26,82.86,40,236.56,92.09,0.58,187.36,2.27,1,61.59,0.13,0,2.59,0.96,0.28,2.78,0.69,0.02,1,10.53,4.58,322.27,5.96,1.18,48.73,25.1,11,258,23.92,14,188,137.2,38.7,202.89,9.55,5.51,222.28,1.27,1,7,32.98,14.87,655.01,1,0.93,1.08,0.99,0.9,1.13,1,0.95,1.07,1.17,0.49,2.43,0,0,0,0,0,0,0,0,0,28.56,3.92,75,0,0,0,0,0,0,0,0,0,0,0,0,16509.48,2711,719256,0.65,0,1,0.24,0.02,0.81,179.96,2.39,86240.31,545.46,65.48,1588198.36,4.89,1.1,52.54
50,200000,20,50,0,100,7.4,41484,82968,163751.5,28,2.43,2415.95,28.23,2.43,3101.16,0.65,0.08,1,0.72,0,0.96,0.76,0.07,1,0.74,0.03,1,1.46,1,15.1,27.98,20.02,498.89,0.9,0.18,1,5.5,1.76,55.46,7.38,5,157.37,5.51,1.76,62.84,8.59,13.04,13.95,37.02,84.25,40,230.83,91.8,0.58,187.84,2.23,1,45.42,0.12,0,2.73,0.96,0.27,2.54,0.69,0.02,1,10.36,3.9,322.8,5.92,0.96,33.12,24.97,11,330,23.92,14,159,134.5,48.44,202.08,9.48,5.51,231.83,1.28,1,6,32.56,14.27,661.8,1,0.89,1.08,0.99,0.86,1.15,0.99,0.93,1.08,1.17,0.49,2.54,0,0,0,0,0,0,0,0,0,26.82,3.1,72.83,0,0,0,0,0,0,0,0,0,0,0,0,15902.33,2408,588733,0.65,0,1,0.24,0.03,0.84,160.3,2.85,89329.91,436.12,65.48,2040617.92,4.83,1.1,60.62
50,200000,20,50,0,100,7.4,38137,76274,149620.89,30.68,2.02,3967.1,31.05,2.02,4771.53,0.65,0.03,1,0.72,0,0.96,0.76,0.06,1,0.75,0.04,1,1.45,1,17.56,28.28,20,733.17,0.9,0.25,1,5.63,1.61,71.07,7.48,5,231.85,5.64,1.61,77.94,10.7,20.88,22.08,88.85,84.88,40,239.28,91.87,0.58,188.98,2.19,1,53.15,0.12,0,1.99,0.96,0.33,3.13,0.7,0.02,1,10.48,4.11,443.28,6.04,1.05,39.63,25.13,13,502,23.99,12,196,134.43,38.75,202.88,9.58,5.51,358.22,1.26,1,5,33.06,14.27,909.96,1,0.91,1.11,0.99,0.84,1.16,0.99,0.93,1.06,1.17,0.47,2.13,0,0,0,0,0,0,0,0,0,27.78,3.89,72.01,0,0,0,0,0,0,0,0,0,0,0,0,16613.98,2436,1046238,0.66,0,1,0.23,0.02,0.78,218.92,2.17,187963.23,765.7,65.48,6525576.14,4.93,0.73,88.54
60,200000,20,50,0,100,7.4,36017,72034,145484.62,27.12,2.43,4563.92,27.37,2.43,5755.97,0.63,0.09,1,0.71,0,0.96,0.75,0.07,1,0.72,0.04,1,1.48,1,14.89,27.87,19.89,467.44,0.89,0.2,1,5.38,1.76,76.23,7.35,5,147.16,5.39,1.76,85.61,9.09,14.74,17.96,47.32,83.37,40,238.55,89.03,0.56,183.56,2.3,1,44.77,0.13,0,2.88,0.96,0.26,2.72,0.67,0.02,1,10.4,3.9,262.47,5.76,1.14,27.93,24.97,10,305,23.89,14,108,135.55,38.55,206.89,9.51,5.51,213.46,1.3,1,5,32.32,14.44,551.29,1,0.95,1.06,0.99,0.91,1.12,0.99,0.95,1.06,1.16,0.47,2.55,0,0,0,0,0,0,0,0,0,26.52,3.39,73.07,0,0,0,0,0,0,0,0,0,0,0,0,15638.46,2683,1422319,0.65,0,1,0.25,0.02,0.79,164.38,2.85,231937.55,494.54,65.48,1668800.25,4.71,1.1,54.74
60,200000,20,50,0,100,7.4,34680,69360,136893.79,28.4,2.16,3263.86,28.71,2.16,3294.68,0.64,0.05,1,0.71,0,0.96,0.75,0.05,1,0.73,0.03,1,1.49,1,20.64,28.16,19.97,634.19,0.89,0.15,1,5.48,1.66,64.46,7.44,5,200.31,5.49,1.66,64.77,9.16,16.73,15.77,63.37,83.95,40,233.63,91.12,0.58,187.84,2.32,1,62.81,0.13,0,2.42,0.96,0.29,3,0.68,0.02,1,10.58,4.29,423.96,5.85,1,35.64,25.12,11,430,23.95,13,169,135.13,51.44,214.88,9.6,5.51,309.72,1.29,1,10,32.86,14.27,865.09,1,0.92,1.09,0.99,0.89,1.16,0.99,0.89,1.09,1.17,0.44,2.46,0,0,0,0,0,0,0,0,0,27.25,3.65,75.53,0,0,0,0,0,0,0,0,0,0,0,0,16024.27,2602,809767,0.65,0,1,0.25,0.02,0.82,173.36,2.39,140269.02,590.8,65.48,4208591.02,4.82,1.1,59.89
0,200000,20,20,0.5,100,7.4,95413,190826,376820.51,81.23,1.89,18585.13,83.33,1.89,18946.18,0.64,0,1,0.61,0,0.95,0.55,0.02,1,0.72,0.01,1,2.32,1,57.84,40.65,19.96,1048.71,0.87,0,1,8.08,1.55,153.83,11.42,5,332.25,8.16,1.55,155.32,23.28,37.39,41.54,76.12,65.82,40,218.19,93.34,0.58,187.77,4.94,1,179.7,0.44,0,3.43,0.76,0.23,5.09,0.42,0.01,1,21.48,4.29,764.73,5.75,0.77,40.17,30.7,11,574,29,11,364,154.22,42.33,207.19,14.56,5.51,452.27,1.21,1,27,54.45,14.44,1581.14,1,0.92,1.09,0.99,0.84,1.18,1,0.91,1.08,1.31,0.27,3.6,0,0,0,0,0,0,0,0,0,28.88,3.27,74.65,0,0,0,0,0,0,0,0,0,0,0,0,35542.49,2378,3944152,0.52,0,1,0.28,0.03,0.88,1260.89,1.95,1905953.01,4195.66,65.48,19204442.11,7.57,0.73,159.08
0,200000,20,20,0.5,100,7.4,50650,101300,198158.13,79.78,2.02,5209.59,81.53,2.02,5612.53,0.64,0.04,1,0.62,0,0.96,0.59,0.02,1,0.74,0.01,1,2.17,1,47.05,40.38,20.02,480.4,0.88,0.09,1,8.21,1.61,81.44,11.33,5,151.43,8.28,1.61,84.53,19.97,32.07,30.45,53.28,70.81,40,217.1,94.08,0.56,189.55,4.45,1,145.79,0.38,0,4.56,0.8,0.18,4.38,0.47,0.01,1,20.37,4.91,786.09,6.15,0.67,32.04,30.44,11,269,28.95,12,316,145.02,47.7,211.7,14.45,5.51,226.69,1.16,1,12,53.04,14.87,1582.97,1,0.92,1.04,0.99,0.92,1.18,0.99,0.95,1.09,1.29,0.3,4.42,0,0,0,0,0,0,0,0,0,26.89,2.46,72.6,0,0,0,0,0,0,0,0,0,0,0,0,32939.34,2481,1404641,0.54,0,1,0.26,0.02,0.9,1062.14,2.17,282858.8,3405.98,65.48,1818170.79,7.51,0.73,107.65
5,200000,20,20,0.5,100,7.4,52585,105170,207358.69,35.72,1.89,6132.57,36.11,1.89,6296.55,0.66,0.05,1,0.7,0,0.96,0.7,0.02,1,0.77,0.03,1,1.64,1,41.97,29.96,19.99,968.76,0.91,0.13,1,6.03,1.55,88.36,8.02,5,306.88,6.05,1.55,89.54,10.83,25.75,19.32,135.58,75.42,40,225.15,93.88,0.56,188.03,2.75,1,129.84,0.22,0,2.71,0.9,0.27,2.67,0.63,0.01,1,12.22,4.11,671.18,6.05,0.88,35.9,25.76,9,460,24.7,12,533,148.65,45.55,206.38,10.2,5.51,448.6,1.18,1,9,36.55,14.44,1358.49,1,0.91,1.04,0.99,0.92,1.22,1,0.96,1.11,1.22,0.44,2.74,0,0,0,0,0,0,0,0,0,32.93,2.88,76.15,0,0,0,0,0,0,0,0,0,0,0,0,20062.36,2344,1598401,0.62,0,1,0.24,0.02,0.84,257.79,1.95,361266.11,1115.13,65.48,15132436.5,5.39,0.73,128.96
5,200000,20,20,0.5,100,7.4,51598,103196,202380.25,36.48,2.16,9912.27,36.89,2.16,11015.06,0.66,0.04,1,0.7,0,0.96,0.7,0.02,1,0.77,0.02,1,1.64,1,58.63,30.06,19.92,1531.62,0.91,0.17,1,6.06,1.66,112.34,8.05,5,486.17,6.09,1.66,118.43,11.26,41,21.87,322.13,75.52,40,232.64,94.57,0.58,189.05,2.75,1,182.19,0.22,0,2.92,0.9,0.26,2.95,0.63,0.01,1,12.27,4.11,1456.16,6.07,1,41.97,25.85,11,1009,24.67,12,272,148.62,41.72,207.91,10.24,5.51,730.76,1.18,1,8,36.68,14.44,2928.31,1,0.96,1.05,0.99,0.92,1.09,1,0.96,1.05,1.22,0.5,2.61,0,0,0,0,0,0,0,0,0,32.94,3.23,76.84,0,0,0,0,0,0,0,0,0,0,0,0,20287.53,2220,3035561,0.62,0,1,0.24,0.03,0.86,273.72,2.39,742375.04,1831.61,65.48,60168493.28,5.4,0.73,106.91
10,200000,20,20,0.5,100,7.4,42048,84096,164880.85,35.53,2.02,5107.4,35.91,2.02,5987.91,0.67,0.06,1,0.72,0,0.96,0.73,0.03,1,0.78,0.03,1,1.55,1,32.37,29.39,19.91,459.88,0.92,0.23,1,5.99,1.61,80.64,7.84,5,144.92,6.01,1.61,87.32,11.36,18.14,21.83,50.24,77.99,40,228.69,93.71,0.56,189.08,2.45,1,99.68,0.18,0,2.9,0.92,0.26,2.92,0.67,0.01,1,11.5,4.51,350.75,6.23,0.82,60.84,25.49,10,305,24.46,13,267,145.48,27.26,205.89,9.92,5.51,225.22,1.19,1,12,35.46,13.84,738.28,1,0.96,1.05,0.99,0.92,1.09,1,0.95,1.05,1.21,0.4,2.7,0,0,0,0,0,0,0,0,0,33.19,3.34,76.75,0,0,0,0,0,0,0,0,0,0,0,0,19520.84,2361,1425145,0.64,0,1,0.23,0.03,0.86,268.97,2.17,274576.48,736.36,65.48,1593579.04,5.33,1.1,71.64
